timestamp,asset,midprice,spread,volatility,regime,orderflow_imbalance,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4
21,ASSET_B,102.1268,0.0247,0.0203,normal,-0.5908,43.2971,83.4417,414.3819,86.346,471.4416,77.7241,178.4096,21.0655,31.8422,100.0202
22,ASSET_C,103.8339,0.0228,0.0226,normal,-0.678,93.4952,66.4705,114.4326,91.913,94.6109,172.3507,143.4353,129.6625,116.6321,33.2534
23,ASSET_D,106.0559,0.0344,0.0416,normal,0.5358,128.6529,40.8459,76.4137,92.3921,34.1969,162.922,82.2047,56.0206,122.8212,295.5811
24,ASSET_E,107.6113,0.0409,0.0279,normal,0.4511,65.7106,16.2709,40.8107,40.3674,105.7484,50.9214,62.4722,33.0023,79.0931,97.1516
25,ASSET_B,101.4048,0.0192,0.0466,normal,0.9903,185.1461,101.3415,122.6643,44.485,50.1654,31.4284,172.023,149.9096,138.6039,132.7964
26,ASSET_A,100.0209,0.0219,0.0416,normal,-0.2545,45.6143,146.7253,81.0582,97.3282,65.264,110.8636,89.245,55.5003,233.029,98.8655
27,ASSET_A,100.1098,0.047,0.0192,normal,0.9445,53.7663,169.4344,89.1038,41.4036,152.5799,89.7097,206.2969,181.1881,74.9362,118.5175
28,ASSET_D,105.9354,0.0361,0.0314,normal,-0.8874,94.3369,49.7071,68.8681,129.9547,3.9784,89.9228,50.9843,42.0419,32.5658,209.9402
29,ASSET_E,107.7981,0.0755,0.0268,stress,-0.7375,65.5838,50.132,26.7167,198.0996,95.7804,51.2667,84.5871,98.6978,133.0448,211.3763
30,ASSET_B,101.7723,0.0126,0.0189,normal,-0.846,109.0712,138.7482,223.1545,142.5495,47.1079,148.0618,43.9362,57.9078,34.5505,64.8426
31,ASSET_C,103.9713,0.0285,0.0354,stress,0.167,86.6002,189.3657,193.2409,142.2842,175.3695,145.0629,44.2531,81.4241,134.5324,66.5396
32,ASSET_C,103.6416,0.0304,0.0464,normal,-0.6799,105.7597,35.7787,18.1536,154.6477,143.1717,130.8293,86.0705,103.2302,182.241,49.2916
33,ASSET_A,100.3648,0.0182,0.0445,normal,-0.954,77.5485,63.1712,65.9706,174.6269,15.3341,139.1178,20.9784,27.2905,43.3568,43.2497
34,ASSET_A,99.825,0.0321,0.0303,normal,-0.769,99.4917,30.7779,21.1581,269.0075,22.9102,121.7523,113.8066,52.2568,62.3993,401.5646
35,ASSET_E,107.2312,0.0125,0.0467,normal,0.924,182.0542,202.2814,143.5136,52.2538,392.2004,46.43,15.6539,19.3925,105.5466,112.1295
36,ASSET_B,102.1612,0.0452,0.0152,normal,0.8819,139.7633,54.6265,26.2874,23.879,177.044,67.9407,150.1166,107.9872,65.6144,140.3827
37,ASSET_B,102.3171,0.0359,0.0179,normal,-0.3243,63.7896,78.2039,62.9164,58.1496,123.8136,155.758,150.9564,57.0009,25.3877,258.9252
38,ASSET_C,104.8588,0.0132,0.0471,normal,-0.3756,188.4298,77.8664,91.5231,90.5256,63.6137,79.8374,82.6077,88.8289,59.6263,86.1565
39,ASSET_A,99.596,0.0488,0.039,normal,0.956,15.9285,83.6489,149.3108,21.2991,112.8403,41.3527,277.1958,106.3563,160.3744,27.0303
40,ASSET_E,107.7546,0.0507,0.0203,stress,-0.5936,119.4463,40.578,211.9669,79.592,129.442,58.4307,30.2772,121.8543,316.1304,73.7454
41,ASSET_D,105.38,0.0114,0.0482,normal,-0.8363,273.4234,368.6234,48.4474,31.7264,74.7483,106.0224,277.9948,54.3198,146.2494,114.7531
42,ASSET_C,103.5602,0.0428,0.0367,normal,0.9954,117.2377,76.8449,205.1029,72.2814,19.0972,4.8696,40.6376,147.7917,55.6315,108.6874
43,ASSET_E,107.8018,0.0256,0.0116,normal,0.844,144.273,71.2779,54.6231,47.7332,356.9738,157.7364,17.0689,56.7113,43.3614,81.0895
44,ASSET_D,105.9076,0.0235,0.0347,normal,0.1226,95.6796,72.7509,65.2817,72.4757,151.6982,41.3802,53.7488,67.2806,147.3289,166.6194
45,ASSET_E,107.9936,0.075,0.019,stress,0.2615,196.9412,180.4607,193.2507,19.6527,28.3531,35.0857,22.191,32.3783,71.2495,135.2777
46,ASSET_B,101.8677,0.0486,0.0242,normal,-0.8703,165.9635,40.705,51.2209,105.4647,559.8569,15.0232,75.5918,17.7442,50.8783,233.6355
47,ASSET_E,107.8742,0.0346,0.0127,normal,-0.7347,70.0701,190.9526,105.7736,39.4097,200.3881,46.4177,233.7082,126.6517,207.3866,96.3876
48,ASSET_D,105.5581,0.034,0.0398,normal,-0.4351,75.4639,70.6517,190.7812,75.7044,104.495,64.2047,116.4574,68.8355,82.1056,74.595
49,ASSET_C,104.2629,0.0456,0.0466,normal,0.6941,119.9466,74.8655,51.0252,68.4194,84.3996,192.6803,103.9018,34.1743,116.9624,43.6062
50,ASSET_D,106.0742,0.0134,0.0224,normal,-0.4563,206.4976,246.6472,17.9682,132.7924,18.908,33.1279,142.7141,229.842,156.2585,68.6677
51,ASSET_C,103.886,0.035,0.0242,normal,0.7657,55.8975,208.5548,45.0615,83.2066,74.8192,40.1484,43.2936,88.9985,135.6481,53.7571
52,ASSET_E,107.9409,0.0485,0.0197,normal,0.5098,140.5003,32.5497,90.0683,127.0365,33.3541,77.9986,130.2645,263.6636,94.4711,161.1692
53,ASSET_D,105.8551,0.0124,0.0247,normal,-0.6704,9.8383,14.7056,126.1044,157.287,64.0364,54.7204,32.7208,10.8168,185.8475,103.0168
54,ASSET_D,106.1563,0.0383,0.0336,normal,0.6928,74.0454,323.6124,111.0139,297.1068,188.6604,38.2096,180.6122,154.8306,27.6835,94.8035
55,ASSET_A,99.7705,0.0141,0.0219,normal,-0.9651,131.6827,196.7074,71.4315,80.8595,15.8106,82.2175,133.744,38.8175,45.4835,25.004
56,ASSET_A,99.6627,0.0352,0.0289,normal,0.4383,141.063,66.1209,59.8929,80.9891,55.295,73.9994,56.986,25.4805,27.8289,24.2083
57,ASSET_B,101.6589,0.0129,0.0492,normal,-0.9881,79.707,75.6285,321.7158,182.0649,84.3199,172.2383,23.3031,59.8539,87.0096,104.5533
58,ASSET_E,107.6958,0.0422,0.0343,normal,-0.9894,22.5708,158.9176,45.3076,36.1204,19.2068,190.1524,136.9097,300.4913,40.6167,67.8369
59,ASSET_A,99.9345,0.0299,0.0177,normal,0.9646,150.2133,188.1542,86.1531,259.0659,58.6827,159.5207,59.2295,68.1262,98.4407,54.4934
60,ASSET_A,99.9723,0.0451,0.0257,normal,0.5195,213.4771,38.7182,76.818,108.1826,68.3029,68.2023,49.0291,227.5652,118.6032,125.0406
61,ASSET_B,102.15,0.0391,0.0192,normal,-0.7794,227.1196,172.2808,34.9398,110.8784,66.1708,164.7375,136.2857,99.3,57.5483,35.7304
62,ASSET_D,106.069,0.064,0.0381,stress,0.509,52.3431,139.4687,128.9428,120.1145,361.5953,137.0967,84.181,37.4287,61.1095,150.6151
63,ASSET_D,105.7652,0.0499,0.0384,normal,0.7248,154.6307,93.9251,25.6229,148.2768,129.4567,72.1004,109.3475,229.9226,34.9173,294.8263
64,ASSET_C,103.7644,0.0484,0.0152,stress,0.5787,103.9827,76.0263,116.8302,84.8301,97.558,154.6862,141.2347,192.0198,123.808,138.5218
65,ASSET_C,103.8008,0.0446,0.0193,normal,0.9402,91.918,27.2025,66.9779,114.8739,227.9455,316.3809,45.6157,66.1672,166.35,59.6757
66,ASSET_A,99.9798,0.0806,0.0343,stress,-0.8036,48.9395,95.6664,27.6193,73.6051,29.6198,53.4484,37.7562,216.5463,167.3106,31.6858
67,ASSET_C,104.1433,0.0305,0.0228,stress,-0.5533,150.5786,84.9402,87.5823,110.7624,91.8939,79.8647,101.2915,123.6168,116.0022,144.5223
68,ASSET_B,101.9933,0.0335,0.0265,normal,-0.3104,27.3351,134.6907,27.1229,98.2745,82.7154,23.6308,38.2161,111.047,113.642,79.96
69,ASSET_C,103.9213,0.0279,0.0396,stress,0.9874,100.5984,110.9449,60.8597,78.4585,419.4707,46.7697,61.3208,143.8356,142.755,105.7703
70,ASSET_B,102.2086,0.0465,0.0308,normal,-0.1926,186.999,151.7156,98.8997,35.1747,117.2526,152.5344,26.4738,264.8728,57.6416,194.639
71,ASSET_B,102.035,0.0305,0.0161,normal,0.3074,97.5281,64.4171,50.4108,71.5199,55.9429,107.8384,50.5446,133.3,88.6377,244.4138
72,ASSET_A,99.8266,0.0426,0.0106,normal,-0.8513,89.5508,110.4029,134.8036,17.3886,169.6276,17.6889,35.036,32.5532,86.5487,63.2623
73,ASSET_A,99.9976,0.0452,0.0372,normal,0.1142,39.8712,12.7889,72.2211,48.8621,27.6972,30.1324,87.3429,39.0847,37.4842,75.8091
74,ASSET_B,102.1156,0.0387,0.0423,normal,0.8328,32.7344,150.2467,110.9168,60.4197,38.615,113.5507,58.1191,109.0057,21.6258,120.6252
75,ASSET_D,105.9742,0.0147,0.038,normal,0.444,58.2625,268.0372,335.0114,99.0243,9.303,239.4906,144.3575,75.3998,314.0904,37.4113
76,ASSET_C,103.854,0.0257,0.0234,normal,-0.2487,176.8232,8.4662,78.9492,39.2143,19.6781,184.3711,9.0885,79.4144,204.7087,163.4405
77,ASSET_E,107.1063,0.0103,0.0445,normal,-0.5019,76.9529,55.9284,120.9428,124.0925,45.5729,139.2573,65.2592,96.791,26.9794,219.8119
78,ASSET_A,99.7294,0.089,0.0454,stress,0.3413,230.8111,149.5881,43.5847,112.4797,20.4966,36.6252,95.6214,91.0785,110.627,167.6088
79,ASSET_B,101.7303,0.0394,0.0318,normal,0.6582,106.0611,260.959,67.3994,180.9743,99.4828,41.3767,217.0244,56.3044,80.7551,207.258
80,ASSET_C,104.0672,0.0603,0.0158,stress,-0.3797,26.146,39.4809,88.7141,203.914,20.1469,88.2026,43.9578,54.2452,356.4204,114.4798
81,ASSET_B,102.2216,0.034,0.0462,normal,0.2984,88.7553,173.8025,109.7822,92.2072,140.7757,80.3278,50.7484,64.0066,105.6427,246.8317
82,ASSET_D,105.9102,0.0541,0.0167,stress,0.2411,310.6798,31.7145,78.5104,126.4953,188.2736,16.1146,112.5845,9.1558,107.5483,49.3466
83,ASSET_C,103.8748,0.0326,0.0347,normal,0.356,120.2523,163.5996,2.9561,123.2099,43.135,67.8751,112.2546,48.17,53.3992,122.2512
84,ASSET_B,101.9945,0.0395,0.0158,normal,0.8276,76.3443,68.6026,41.2347,74.7701,95.2519,479.0337,131.4719,8.1554,128.7615,8.883
85,ASSET_B,101.9574,0.0421,0.0109,normal,0.5413,15.2182,45.4254,151.0218,45.7404,107.1064,113.4901,340.7513,154.1152,118.5545,193.1952
86,ASSET_D,105.8502,0.0349,0.0185,normal,-0.5352,45.0968,11.891,54.2606,114.6672,136.2223,224.6561,152.8478,28.8969,59.9364,43.6519
87,ASSET_B,102.5314,0.0139,0.0495,normal,0.894,109.1665,94.121,101.203,8.2772,175.7484,29.0345,119.7763,75.2978,9.98,55.0336
88,ASSET_E,107.9526,0.0299,0.0149,stress,-0.388,112.3895,57.7274,99.2849,349.3652,28.1832,189.4741,89.3401,30.8022,38.1613,88.5223
89,ASSET_E,107.7251,0.0211,0.0233,normal,0.9807,163.9067,34.0408,39.8193,74.4502,186.7168,120.3688,109.3212,177.7616,156.805,124.5992
90,ASSET_B,101.2753,0.0491,0.0398,stress,0.5728,107.4601,154.3207,73.8587,186.7414,90.9011,74.7693,85.5646,168.1845,132.5266,171.1632
91,ASSET_A,99.4786,0.0437,0.0321,normal,-0.9505,224.7229,232.7092,108.9868,64.6799,160.2034,94.3886,98.0371,77.1821,156.1541,79.2772
92,ASSET_E,108.0239,0.0407,0.0474,normal,-0.1887,77.1291,167.8755,109.8528,19.0324,50.9741,87.2577,109.671,225.4714,191.0216,88.3692
93,ASSET_D,105.3414,0.0437,0.0269,normal,0.8234,295.8934,213.106,110.9381,240.8821,38.0504,33.2359,79.5686,32.552,37.5033,115.7034
94,ASSET_A,99.8865,0.0207,0.034,normal,0.6281,37.3588,29.486,186.39,97.8228,172.6241,34.5836,275.5166,168.702,418.5512,26.7818
95,ASSET_B,102.0883,0.0626,0.0398,stress,0.7806,343.0762,71.3833,76.8724,125.3624,34.9542,48.3847,35.6585,129.4842,29.0642,305.426
96,ASSET_B,102.021,0.0432,0.0445,normal,-0.706,224.2183,52.7428,141.5357,12.3913,160.678,45.5749,101.0451,27.7857,283.855,54.4627
97,ASSET_A,100.2459,0.0483,0.0223,normal,0.3931,105.9195,84.5865,309.6905,66.0184,107.2455,86.6219,270.764,246.2834,117.878,62.5466
98,ASSET_A,100.6719,0.0248,0.0214,normal,0.3487,29.7508,45.0467,113.896,68.5928,77.442,136.7337,83.4748,65.3259,104.1243,95.6167
99,ASSET_C,103.8792,0.0541,0.0152,stress,0.1502,149.5061,27.2232,164.562,62.6981,14.8836,98.6899,55.1049,44.0999,63.6692,69.2246
100,ASSET_A,100.0038,0.0115,0.0132,normal,0.5961,43.3659,59.8587,139.2212,163.3608,323.2313,1.5515,206.6373,62.7626,298.6439,99.6281
101,ASSET_C,103.5007,0.039,0.0369,normal,-0.0514,239.6216,12.6164,53.4791,174.6051,53.2549,31.5033,76.834,517.2121,59.6164,14.3544
102,ASSET_D,105.9244,0.0336,0.0392,normal,0.2379,88.5483,11.6221,155.9241,84.2433,53.1704,20.1289,92.745,76.92,69.5624,138.3595
103,ASSET_D,104.9153,0.0216,0.0447,normal,-0.6885,22.3325,86.5812,41.0438,264.4738,127.0926,18.5198,212.5145,65.0063,55.7487,340.8242
104,ASSET_B,101.6884,0.0263,0.031,normal,0.6989,41.678,101.4479,63.2491,38.7456,294.8085,38.9608,156.8387,22.3556,168.3857,67.5269
105,ASSET_B,102.4065,0.0564,0.0256,stress,0.8063,70.6559,184.9821,253.596,68.3712,28.0042,71.4352,108.4563,27.3443,49.6162,20.4886
106,ASSET_A,99.4576,0.0921,0.0191,stress,-0.5263,56.0667,53.5709,40.6479,164.9375,22.8118,66.2445,50.0891,130.9688,47.7752,11.3692
107,ASSET_E,108.2482,0.03,0.0422,normal,-0.8479,29.5137,69.5111,35.1708,198.0568,137.3907,41.8326,77.9737,151.7448,97.623,122.9887
108,ASSET_D,105.8577,0.0137,0.0423,normal,-0.9123,130.688,97.7701,24.3931,346.0676,124.4252,74.2822,274.4368,93.427,54.8884,50.8289
109,ASSET_C,104.3442,0.0193,0.0467,normal,-0.0016,99.742,137.4988,68.3792,12.2175,114.7537,22.3527,78.8863,41.5141,322.8724,38.1724
110,ASSET_A,100.269,0.0162,0.02,normal,-0.868,263.3909,59.3278,43.4333,68.5953,156.4582,101.3722,228.1934,91.7281,179.4886,53.0697
111,ASSET_C,104.1356,0.0362,0.0417,normal,-0.4558,73.0552,116.7304,40.5108,214.8107,176.4538,58.6715,68.51,58.8284,114.4706,41.0117
112,ASSET_E,108.2212,0.0759,0.0479,stress,-0.0629,93.6958,19.9415,63.527,63.8004,77.644,141.23,103.7953,67.1002,68.179,69.2043
113,ASSET_D,107.035,0.0193,0.0486,normal,-0.6135,165.3385,74.7072,123.9838,19.3774,126.1277,134.4044,98.0255,128.5315,111.8292,155.4727
114,ASSET_D,106.1902,0.0273,0.0427,normal,-0.9246,53.2191,89.3415,76.6848,114.494,130.9857,159.0366,117.1524,103.849,143.1068,250.3495
115,ASSET_E,108.0692,0.0728,0.0115,stress,-0.2066,141.7993,76.5604,187.6433,90.0431,97.0382,63.5339,92.3204,180.9469,28.0441,87.1413
116,ASSET_A,100.5383,0.0164,0.0473,normal,0.9245,62.5005,43.1292,90.5006,37.6925,72.9673,89.5456,41.6446,86.5491,15.8268,75.3078
117,ASSET_C,104.7687,0.0256,0.0493,normal,0.7124,168.4649,19.2058,91.5408,249.9025,190.1191,59.387,46.9476,123.2184,231.3118,149.538
118,ASSET_C,104.287,0.01,0.0474,normal,0.7269,34.707,160.5343,206.3897,121.3587,62.4966,248.9977,73.6689,116.4174,47.0023,64.7381
119,ASSET_C,103.46,0.0303,0.0381,stress,0.6275,30.0439,87.9959,6.0694,73.8874,60.4381,77.3317,154.1813,144.2132,92.5964,164.9629
120,ASSET_E,107.9296,0.0287,0.0221,normal,-0.7186,47.1699,80.2124,84.0047,19.9063,251.044,52.0851,22.8817,240.0784,58.3781,241.1216
121,ASSET_B,101.6136,0.0952,0.0486,stress,0.9818,129.0197,50.1609,105.6444,102.5985,57.8498,125.0834,7.2947,296.8141,30.6807,142.4941
122,ASSET_E,108.6636,0.0825,0.0416,stress,0.1128,189.1842,198.0253,171.0442,34.9133,37.4496,95.5622,140.436,107.4157,5.4346,28.5317
123,ASSET_A,99.8216,0.019,0.0414,normal,-0.6633,38.7894,74.9562,62.675,182.153,13.9876,65.8542,152.1063,131.7753,109.1093,330.0908
124,ASSET_B,102.0204,0.0462,0.0222,normal,0.5934,92.5201,37.6629,173.511,32.597,44.772,142.9647,69.2817,37.8716,124.6417,69.8334
125,ASSET_E,108.18,0.0166,0.0226,normal,-0.8669,189.6785,8.6017,23.9243,305.1814,126.8578,237.8295,71.0633,204.7682,16.9566,91.4039
126,ASSET_B,102.0237,0.0367,0.0182,normal,0.3594,166.9467,81.8291,23.0329,94.1859,159.1467,30.6204,97.3925,99.7904,83.7385,57.3714
127,ASSET_C,104.0319,0.0252,0.0186,normal,-0.2577,31.6065,127.1521,109.4764,22.4201,12.2565,38.2113,275.8687,155.4459,42.0915,115.7373
128,ASSET_E,108.1651,0.0365,0.028,normal,0.928,26.9084,69.3293,126.6324,156.4045,110.0329,94.0048,165.0224,95.0819,28.4004,175.414
129,ASSET_B,102.205,0.0432,0.0432,normal,-0.8427,78.6012,8.8374,76.7171,29.8888,102.2722,71.7222,162.4277,101.4856,94.7146,72.7103
130,ASSET_E,108.2277,0.0375,0.04,stress,-0.7816,51.4058,16.3826,211.4127,82.6734,164.6811,102.8961,179.0021,49.7531,102.9465,221.5409
131,ASSET_E,107.6971,0.0494,0.0444,normal,0.7021,18.6923,150.8223,31.8108,48.2556,56.9254,40.7158,162.3389,41.0407,243.4471,85.6477
132,ASSET_C,103.8297,0.0403,0.0475,normal,-0.4619,138.0663,95.8273,97.838,304.2036,186.7002,232.3866,26.9641,137.011,77.8766,18.8025
133,ASSET_E,108.3568,0.0383,0.0211,normal,-0.5742,12.3045,218.0764,220.2221,31.6574,114.359,13.0045,192.9218,166.5689,126.558,107.1903
134,ASSET_B,102.2089,0.038,0.0252,normal,-0.9586,121.4976,56.6524,60.8975,147.4773,114.5871,115.4971,35.2996,78.9136,45.9916,130.2461
135,ASSET_C,103.9069,0.0212,0.0486,normal,-0.7622,92.1397,64.3189,251.828,30.9096,96.1537,28.3534,105.9615,85.6488,32.3846,73.8249
136,ASSET_D,105.8222,0.0885,0.039,stress,-0.9933,54.9673,69.0747,71.9572,218.5284,183.5359,41.1018,136.6484,50.9283,103.4418,97.6856
137,ASSET_A,100.0032,0.0888,0.0465,stress,0.9598,184.1952,164.5047,55.2124,12.361,104.5478,24.4416,11.4954,46.9866,83.9582,75.1984
138,ASSET_B,102.7402,0.0304,0.0325,normal,0.8191,29.566,85.2464,105.6588,101.2431,71.5523,122.618,121.3288,11.1622,207.6976,54.0306
139,ASSET_E,107.9844,0.0198,0.0174,normal,-0.674,87.1264,245.4474,223.3427,39.1513,11.3654,199.6632,141.2457,9.4637,54.6,34.873
140,ASSET_D,106.0791,0.0483,0.0267,normal,0.5079,134.4417,44.4263,125.1752,171.6428,177.5649,231.5267,269.8075,72.6988,29.1926,219.7179
141,ASSET_D,106.5337,0.0235,0.0364,normal,0.6947,77.5747,52.3455,33.6407,60.7196,26.4511,55.6299,9.5152,80.2759,20.5366,200.3959
142,ASSET_E,107.7128,0.0252,0.0236,stress,-0.3204,110.052,176.0656,53.1195,193.1418,195.4332,134.4008,161.1283,120.125,140.8606,72.3933
143,ASSET_E,106.9161,0.0455,0.04,stress,-0.1742,3.0878,9.6834,8.1192,50.5729,138.2746,83.4041,31.3911,64.1076,216.4268,93.5456
144,ASSET_D,105.9295,0.0142,0.0183,normal,-0.5283,51.4219,54.2047,87.4747,79.3177,148.2801,155.3668,57.2997,43.2436,106.0636,61.759
145,ASSET_E,107.6575,0.0135,0.0292,normal,-0.6459,67.2096,98.2143,36.201,186.4644,219.2446,135.3442,75.9674,76.6828,94.7362,191.5896
146,ASSET_A,100.4244,0.0456,0.0196,normal,0.5811,99.7594,92.4823,51.9979,24.2478,180.1497,143.065,149.7438,14.0913,67.6468,44.8938
147,ASSET_A,100.072,0.0445,0.0153,normal,-0.5904,61.1033,225.7927,128.4925,309.2032,49.9025,31.6839,52.2344,17.8994,96.9442,105.232
148,ASSET_A,99.9057,0.0318,0.0323,normal,-0.8349,39.2922,114.7191,248.0726,69.1205,160.8896,58.3165,141.3745,304.6507,344.8147,173.9821
149,ASSET_B,102.0279,0.0491,0.0117,normal,-0.5381,16.8503,37.64,44.218,290.7662,80.7673,29.099,50.3391,32.3261,188.9378,166.6769
150,ASSET_D,105.7831,0.0131,0.0425,normal,0.2633,64.5244,17.0377,37.4864,43.1709,116.8294,5.3253,46.1527,41.7787,65.7558,269.4119
151,ASSET_D,105.5867,0.0215,0.0257,normal,-0.5154,170.2668,27.1784,63.5852,93.4351,71.9686,108.5333,101.115,117.4524,244.7087,110.5435
152,ASSET_E,107.9182,0.0188,0.0101,normal,0.8275,84.2833,296.7228,39.4726,92.6266,91.9699,91.05,145.8144,56.4841,307.031,164.2505
153,ASSET_B,101.59,0.0726,0.0443,stress,-0.7023,35.3714,73.526,190.9681,144.2017,60.2252,45.9157,119.6472,230.1,32.4257,274.4136
154,ASSET_B,102.0138,0.0247,0.017,normal,0.164,46.9921,114.5003,73.4604,92.8233,139.2058,54.7469,78.146,217.8955,127.8953,123.6611
155,ASSET_E,108.2721,0.0497,0.0315,normal,0.0488,164.2202,117.6756,96.0347,210.5066,119.2658,25.3703,41.9134,181.6597,61.516,25.5737
156,ASSET_E,107.9318,0.0424,0.0202,stress,-0.2885,49.6451,118.5377,137.817,93.4974,2.6943,84.1474,63.5738,149.4758,194.4635,186.6246
157,ASSET_E,107.3332,0.083,0.0369,stress,-0.0189,58.0715,65.2826,16.2199,118.8339,109.2672,121.575,93.0912,200.5425,63.8824,101.724
158,ASSET_E,108.0683,0.0346,0.0185,normal,-0.7269,177.347,82.1134,129.656,67.1558,118.3778,66.9365,87.604,9.8514,38.7718,317.7673
159,ASSET_D,106.2926,0.0984,0.0484,stress,-0.8259,239.9752,37.6822,89.5533,39.9506,71.4067,17.4935,82.1389,55.1437,60.4854,16.5335
160,ASSET_C,103.7948,0.0993,0.0157,stress,-0.6004,6.0899,135.8356,174.5822,49.7008,273.1696,175.6232,28.3844,66.8912,157.8444,197.41
161,ASSET_D,105.9919,0.0254,0.0183,normal,0.2293,301.0988,125.3741,158.691,13.9721,65.8008,73.7217,46.5859,28.5669,68.333,240.8815
162,ASSET_D,105.8781,0.0421,0.0173,normal,0.5576,90.4961,21.6555,81.0176,64.3852,34.1992,58.6417,49.7957,112.438,63.7713,25.5563
163,ASSET_E,108.1396,0.0215,0.0153,stress,0.318,83.843,191.8711,78.4202,79.8767,66.7107,153.8442,67.5688,134.717,74.045,365.7124
164,ASSET_A,99.9525,0.0443,0.0113,normal,-0.6415,29.664,74.8709,127.7245,52.8755,148.9627,202.2949,29.6544,48.7407,58.2572,118.862
165,ASSET_E,107.5984,0.0387,0.0312,normal,0.9588,94.3082,51.4134,199.9375,63.2135,67.8334,154.2707,232.4035,80.1734,42.1183,77.3891
166,ASSET_E,107.6852,0.0199,0.033,normal,0.3801,18.7622,50.4708,109.5663,182.8384,160.7446,38.1711,16.9933,130.5263,151.493,67.368
167,ASSET_C,104.2754,0.0299,0.0452,normal,-0.376,54.3813,87.3721,28.4225,37.2707,34.2726,19.1447,78.4141,16.0985,35.04,42.0708
168,ASSET_A,100.2284,0.035,0.0345,normal,-0.9133,64.4141,179.841,53.7993,40.8301,179.0286,166.7857,42.3636,80.4456,79.1084,69.9606
169,ASSET_B,102.1657,0.0488,0.0398,normal,0.7077,42.0312,120.3277,62.5534,155.8698,28.647,320.492,78.8808,341.8857,25.264,120.4701
